loan_amount,payments_term,monthly_payment,grade,working_years,home,annual_income,verification,purpose,debt_to_income,delinquency,inquiries,open_credit_lines,derogatory_records,revolving_balance,revolving_rate,total_accounts,bankruptcies,fico_average,loan_risk
6000,60 months,148.54,5,2,Mortgage,53004,Verified,other,5.95,0,0,11,0,1137,14.6,17,0,707,Fully Paid
21000,60 months,464.07,2,3,Rent,60000,Not Verified,debt_consolidation,6.62,0,0,7,0,10543,79.9,11,0,737,Charged Off
9300,60 months,211.56,3,7,Mortgage,51000,Verified,home_improvement,21.84,0,0,7,0,6470,56.3,38,0,727,Fully Paid
18225,36 months,596.58,2,0,Mortgage,50000,Verified,debt_consolidation,13.68,0,0,11,0,19541,55.7,27,0,707,Fully Paid
5500,60 months,130.59,4,10,Own,100000,Source Verified,home_improvement,5.57,0,2,4,0,25611,71.9,32,0,697,Charged Off
14400,36 months,469.67,2,2,Rent,100000,Source Verified,credit_card,6.6,0,0,11,1,12224,97.6,19,1,707,Fully Paid
30000,60 months,594.71,5,10,Rent,57000,Verified,small_business,14.99,0,0,10,0,16056,69.8,23,0,712,Charged Off
4800,36 months,158.27,2,10,Mortgage,71711,Source Verified,debt_consolidation,0.02,0,0,4,0,1,0,25,0,697,Fully Paid
5375,36 months,180.31,2,2,Rent,23400,Verified,debt_consolidation,23.38,0,1,6,0,7117,61.4,11,0,697,Fully Paid
15000,36 months,473.45,1,9,Mortgage,155004,Verified,home_improvement,10.58,0,1,15,0,10237,39.7,35,0,742,Fully Paid
10500,36 months,347.91,2,0,Mortgage,79000,Not Verified,home_improvement,4.57,0,0,3,0,258,0.7,6,0,777,Charged Off
6000,36 months,190.52,1,3,Rent,36000,Not Verified,credit_card,13.9,0,0,9,0,9693,71.3,20,0,702,Fully Paid
12000,36 months,409.26,3,1,Mortgage,52000,Not Verified,home_improvement,5.79,0,2,5,0,1812,27.5,10,0,677,Fully Paid
20000,36 months,669.33,2,7,Mortgage,62400,Not Verified,other,3.65,0,0,3,0,9231,30.8,8,0,782,Fully Paid
7000,36 months,239.18,3,1,Rent,32400,Not Verified,other,11.37,0,3,5,0,7039,61.7,7,0,692,Fully Paid
15250,60 months,331.5,2,6,Mortgage,71000,Not Verified,debt_consolidation,11.95,0,1,11,0,15639,29.3,25,0,777,Fully Paid
9600,60 months,229.45,4,2,Rent,51000,Verified,debt_consolidation,14.05,0,0,5,1,9300,62.8,9,1,702,Fully Paid
8100,60 months,198.36,5,1,Rent,48500,Not Verified,debt_consolidation,16.92,0,1,11,0,6839,74.3,14,0,662,Fully Paid
10800,36 months,328.71,1,5,Own,45000,Source Verified,major_purchase,1.63,0,0,6,0,1854,5.2,8,0,772,Fully Paid
3000,36 months,91.8,1,7,Own,186000,Source Verified,debt_consolidation,0.9,0,0,14,0,1752,9.6,44,0,772,Fully Paid
5550,36 months,172.11,1,4,Mortgage,64000,Verified,debt_consolidation,7.22,0,1,8,0,13245,61,11,0,727,Fully Paid
8000,36 months,268.33,3,7,Mortgage,99220,Source Verified,debt_consolidation,3.2,0,0,11,0,6465,84,16,0,672,Charged Off
12400,36 months,380.73,1,10,Rent,72000,Source Verified,debt_consolidation,26.67,0,1,9,0,20491,48.8,25,0,752,Fully Paid
6000,36 months,186.36,1,5,Mortgage,80000,Not Verified,other,13.66,0,0,14,0,2796,7.2,32,0,772,Fully Paid
26000,60 months,591.45,3,3,Rent,85000,Verified,debt_consolidation,17.96,0,0,12,0,44355,66.9,29,0,732,Fully Paid
7000,36 months,216.11,1,0,Mortgage,25500,Source Verified,debt_consolidation,7.06,0,0,8,0,5638,20.7,8,0,742,Fully Paid
35000,36 months,1111.37,1,10,Rent,83000,Verified,debt_consolidation,16.64,0,0,7,0,38966,68.1,17,0,737,Fully Paid
10000,36 months,341.73,3,10,Rent,97000,Not Verified,credit_card,15.19,0,1,12,0,58492,92.7,27,0,692,Fully Paid
8000,36 months,270.91,3,5,Mortgage,70000,Not Verified,debt_consolidation,11.31,0,2,14,0,11519,47.6,26,0,672,Fully Paid
6000,36 months,185.64,1,0,Rent,86000,Not Verified,other,3.42,0,0,11,0,6760,12.5,25,0,767,Fully Paid
8400,36 months,297.36,4,10,Mortgage,66000,Not Verified,other,19.18,0,2,9,0,5651,56.5,42,0,662,Fully Paid
6000,36 months,198.46,2,6,Rent,47000,Not Verified,credit_card,19.69,0,1,19,0,15029,28.8,27,0,697,Charged Off
9600,36 months,299.33,1,4,Rent,55000,Not Verified,debt_consolidation,21.99,0,1,12,0,10130,41.5,44,0,742,Fully Paid
8000,36 months,247.52,1,3,Mortgage,65000,Not Verified,debt_consolidation,16.82,0,0,10,0,9191,19,26,0,777,Fully Paid
22500,36 months,740.5,2,1,Mortgage,96000,Verified,debt_consolidation,15.16,0,0,9,0,46265,70.7,12,0,727,Fully Paid
7500,36 months,227.46,1,3,Rent,60000,Source Verified,debt_consolidation,15.56,0,0,13,0,2926,9,45,0,767,Fully Paid
6900,36 months,247.94,5,2,Rent,39000,Source Verified,other,3.42,0,1,3,0,3882,97,10,0,672,Fully Paid
20000,60 months,275.89,2,9,Mortgage,72936,Verified,debt_consolidation,16.07,0,1,11,0,1233,4.3,44,0,792,Fully Paid
14000,60 months,325.69,3,10,Mortgage,140000,Verified,home_improvement,15.99,0,1,7,0,62782,90.9,20,0,742,Fully Paid
10800,36 months,366.86,3,2,Rent,55000,Verified,debt_consolidation,19.85,0,1,9,0,12207,70.6,23,0,702,Fully Paid
6000,36 months,201.8,3,1,Rent,47000,Not Verified,debt_consolidation,3.75,1,1,4,0,3343,77.7,32,0,692,Fully Paid
15000,36 months,504.5,3,0,Mortgage,72000,Not Verified,credit_card,18.25,0,1,16,0,74095,66.4,39,0,702,Charged Off
18000,60 months,414.09,3,10,Rent,72000,Verified,debt_consolidation,19.1,0,0,7,0,16487,74.8,13,0,717,Fully Paid
9000,36 months,271.44,1,10,Mortgage,36000,Not Verified,car,22.93,0,0,16,0,16734,37.5,47,0,787,Fully Paid
33000,36 months,1231.45,5,10,Mortgage,220000,Verified,debt_consolidation,6.35,0,3,9,0,10373,44.7,33,0,662,Fully Paid
15600,60 months,385.78,5,8,Mortgage,85000,Source Verified,debt_consolidation,9.49,0,1,13,1,10277,75.6,27,1,687,Fully Paid
14400,36 months,487.63,3,7,Rent,100000,Verified,debt_consolidation,11.46,0,0,6,0,31528,95.8,14,0,697,Fully Paid
10000,36 months,325.45,2,10,Mortgage,100000,Source Verified,major_purchase,17.08,0,0,9,0,92399,69.8,24,0,712,Fully Paid
5000,36 months,175.05,4,3,Rent,35000,Not Verified,small_business,4.25,0,3,2,0,258,86,10,0,672,Fully Paid
6000,36 months,196.78,2,0,Mortgage,33600,Not Verified,credit_card,16.86,0,1,13,0,8249,18.7,15,0,707,Fully Paid
4800,36 months,146.01,1,8,Mortgage,46576,Not Verified,debt_consolidation,4.61,0,1,6,0,1204,2.9,23,0,802,Fully Paid
7000,36 months,215.89,1,0,Rent,25000,Source Verified,debt_consolidation,25.82,0,0,16,0,2461,18.5,24,0,732,Fully Paid
8500,36 months,272.8,2,10,Mortgage,55000,Verified,credit_card,18.35,0,1,12,0,28414,61.8,20,0,712,Fully Paid
18000,36 months,599.4,2,3,Rent,65000,Verified,major_purchase,13.9,0,0,9,0,6683,55.7,23,0,717,Charged Off
15000,36 months,491.94,2,9,Mortgage,112000,Source Verified,debt_consolidation,20.42,1,0,18,0,69458,76.2,47,0,712,Fully Paid
14500,60 months,367.66,5,10,Rent,40200,Verified,debt_consolidation,19.4,1,0,11,0,10871,38.8,30,0,667,Fully Paid
7200,36 months,241.49,3,0,Rent,25000,Source Verified,debt_consolidation,17.66,0,0,10,0,12847,86.2,21,0,677,Fully Paid
5025,36 months,159.56,1,4,Mortgage,70000,Source Verified,debt_consolidation,20.18,0,0,9,0,2009,30.9,14,0,717,Fully Paid
25000,60 months,607.82,4,6,Rent,51000,Verified,debt_consolidation,18.71,0,0,9,0,26064,53.1,20,0,717,Fully Paid
21625,60 months,488.62,2,10,Rent,54000,Verified,debt_consolidation,29.09,0,0,17,0,26177,64.8,39,0,727,Fully Paid
20000,36 months,635.07,1,10,Mortgage,68000,Verified,debt_consolidation,28.13,0,1,13,0,38576,46.8,35,0,737,Fully Paid
10000,36 months,311.1,1,0,Mortgage,95000,Not Verified,debt_consolidation,2.93,0,1,7,0,6757,20.6,17,0,757,Fully Paid
8000,60 months,191.21,4,1,Mortgage,95000,Source Verified,debt_consolidation,9.2,0,2,7,0,840,36.5,29,0,687,Fully Paid
5000,36 months,171.15,4,3,Own,25740,Not Verified,debt_consolidation,6.2,1,2,3,0,4852,57.8,6,0,697,Fully Paid
2000,36 months,69.64,4,10,Mortgage,72000,Not Verified,debt_consolidation,21.2,0,5,8,0,12236,91.3,20,0,667,Charged Off
1000,36 months,31.11,1,3,Mortgage,183000,Not Verified,debt_consolidation,6.24,0,1,6,0,6532,48.4,27,0,727,Fully Paid
16500,36 months,570.69,4,6,Mortgage,57335,Not Verified,debt_consolidation,8.9,0,0,5,0,12231,96.3,8,0,712,Fully Paid
12000,36 months,395.66,2,8,Mortgage,75000,Not Verified,credit_card,11.18,0,1,13,1,11769,41.3,33,1,707,Fully Paid
17000,36 months,517.41,1,10,Mortgage,110000,Verified,debt_consolidation,9.47,0,2,6,0,2498,16.7,23,0,802,Fully Paid
2000,36 months,66.16,2,0,Rent,21600,Source Verified,debt_consolidation,21.56,0,1,8,0,8323,64,15,0,697,Charged Off
4000,36 months,133.42,3,2,Rent,27040,Not Verified,debt_consolidation,23.52,0,0,5,0,3573,30.8,6,0,712,Fully Paid
18000,60 months,471.1,5,7,Mortgage,45000,Verified,medical,14.29,0,1,5,0,6859,85.7,8,0,677,Charged Off
16000,60 months,229.91,2,7,Rent,50000,Verified,debt_consolidation,26.11,0,1,15,0,6125,26,31,0,732,Charged Off
